,Date,Ticker,Transaction,Transaction Price,Number of shares,Transaction Cost,Close
1168,2015-04-08,TSLA,,,,,207.67
1169,2015-04-09,TSLA,,,,,210.09
1170,2015-04-09,AAPL,,,,,126.56
1171,2015-04-10,TSLA,,,,,210.9
1172,2015-04-10,AAPL,,,,,127.1
1174,2015-04-13,AAPL,,,,,126.85
1173,2015-04-13,TSLA,,,,,209.78
1176,2015-04-14,AAPL,,,,,126.3
1175,2015-04-14,TSLA,,,,,207.46
1177,2015-04-15,TSLA,,,,,207.83
1178,2015-04-15,AAPL,,,,,126.78
1179,2015-04-16,AAPL,,,,,126.17
1180,2015-04-16,TSLA,,,,,206.7
1182,2015-04-17,TSLA,,,,,206.79
1181,2015-04-17,AAPL,,,,,124.75
1184,2015-04-20,AAPL,,,,,127.6
1183,2015-04-20,TSLA,,,,,205.27
1186,2015-04-21,AAPL,,,,,126.91
1185,2015-04-21,TSLA,,,,,209.41
1188,2015-04-22,TSLA,,,,,219.44
1187,2015-04-22,AAPL,,,,,128.62
1189,2015-04-23,TSLA,,,,,218.6
1190,2015-04-23,AAPL,,,,,129.67
1191,2015-04-24,AAPL,,,,,130.28
1192,2015-04-24,TSLA,,,,,218.43
1193,2015-04-27,AAPL,,,,,132.65
1194,2015-04-27,TSLA,,,,,231.55
1195,2015-04-28,AAPL,,,,,130.56
1196,2015-04-28,TSLA,,,,,230.48
1197,2015-04-29,AAPL,,,,,128.64
1198,2015-04-29,TSLA,,,,,232.45
1199,2015-04-30,TSLA,,,,,226.05
1200,2015-04-30,AAPL,,,,,125.15
1201,2015-05-01,AAPL,,,,,128.95
1202,2015-05-01,TSLA,,,,,226.03
1203,2015-05-04,AAPL,,,,,128.7
1204,2015-05-04,TSLA,,,,,230.51
1205,2015-05-05,AAPL,,,,,125.8
1206,2015-05-05,TSLA,,,,,232.95
1207,2015-05-06,AAPL,,,,,125.01
1208,2015-05-06,TSLA,,,,,230.43
1210,2015-05-07,TSLA,,,,,236.8
1209,2015-05-07,AAPL,,,,,125.26
1211,2015-05-08,AAPL,,,,,127.62
1212,2015-05-08,TSLA,,,,,236.61
1214,2015-05-11,TSLA,,,,,239.49
1213,2015-05-11,AAPL,,,,,126.32
1216,2015-05-12,TSLA,,,,,244.74
1215,2015-05-12,AAPL,,,,,125.87
1218,2015-05-13,TSLA,,,,,243.18
1217,2015-05-13,AAPL,,,,,126.01
1219,2015-05-14,AAPL,,,,,128.95
1220,2015-05-14,TSLA,,,,,244.1
1221,2015-05-15,AAPL,,,,,128.77
1222,2015-05-15,TSLA,,,,,248.84
1223,2015-05-18,AAPL,,,,,130.19
1224,2015-05-18,TSLA,,,,,248.75
1225,2015-05-19,AAPL,,,,,130.07
1226,2015-05-19,TSLA,,,,,247.14
1228,2015-05-20,TSLA,,,,,244.35
1227,2015-05-20,AAPL,,,,,130.06
1229,2015-05-21,AAPL,,,,,131.39
1230,2015-05-21,TSLA,,,,,245.62
1231,2015-05-22,AAPL,,,,,132.54
1232,2015-05-22,TSLA,,,,,247.73
1233,2015-05-26,AAPL,,,,,129.62
1234,2015-05-26,TSLA,,,,,247.46
1235,2015-05-27,TSLA,,,,,247.43
1236,2015-05-27,AAPL,,,,,132.04
1237,2015-05-28,TSLA,,,,,251.45
1238,2015-05-28,AAPL,,,,,131.78
1240,2015-05-29,TSLA,,,,,250.8
1239,2015-05-29,AAPL,,,,,130.28
1242,2015-06-01,TSLA,,,,,249.45
1241,2015-06-01,AAPL,,,,,130.54
1243,2015-06-02,AAPL,,,,,129.96
1244,2015-06-02,TSLA,,,,,248.35
1246,2015-06-03,TSLA,,,,,248.99
1245,2015-06-03,AAPL,,,,,130.12
1248,2015-06-04,TSLA,,,,,245.92
1247,2015-06-04,AAPL,,,,,129.36
1249,2015-06-05,TSLA,,,,,249.14
1250,2015-06-05,AAPL,,,,,128.65
1252,2015-06-08,TSLA,,,,,256.29
1251,2015-06-08,AAPL,,,,,127.8
1254,2015-06-09,AAPL,,,,,127.42
1253,2015-06-09,TSLA,,,,,256.0
1256,2015-06-10,AAPL,,,,,128.88
1255,2015-06-10,TSLA,,,,,250.7
1257,2015-06-11,AAPL,,,,,128.59
1258,2015-06-11,TSLA,,,,,251.41
1259,2015-06-12,TSLA,,,,,250.69
1260,2015-06-12,AAPL,,,,,127.17
1261,2015-06-15,TSLA,,,,,250.38
1262,2015-06-15,AAPL,,,,,126.92
1263,2015-06-16,TSLA,,,,,253.12
1264,2015-06-16,AAPL,,,,,127.6
1265,2015-06-17,TSLA,,,,,260.41
1266,2015-06-17,AAPL,,,,,127.3
1267,2015-06-18,AAPL,,,,,127.88
1268,2015-06-18,TSLA,,,,,261.89
1269,2015-06-19,AAPL,,,,,126.6
1270,2015-06-19,TSLA,,,,,262.51
1271,2015-06-22,AAPL,,,,,127.61
1272,2015-06-22,TSLA,,,,,259.79
1273,2015-06-23,TSLA,,,,,267.67
1274,2015-06-23,AAPL,,,,,127.03
1275,2015-06-24,AAPL,,,,,128.11
1276,2015-06-24,TSLA,,,,,265.17
1277,2015-06-25,TSLA,,,,,268.79
1278,2015-06-25,AAPL,,,,,127.5
1280,2015-06-26,AAPL,,,,,126.75
1279,2015-06-26,TSLA,,,,,267.09
1281,2015-06-29,TSLA,,,,,262.02
1282,2015-06-29,AAPL,,,,,124.53
1284,2015-06-30,AAPL,,,,,125.43
1283,2015-06-30,TSLA,,,,,268.26
1286,2015-07-01,AAPL,,,,,126.6
1285,2015-07-01,TSLA,,,,,269.15
1287,2015-07-02,AAPL,,,,,126.44
1288,2015-07-02,TSLA,,,,,280.02
1289,2015-07-06,TSLA,,,,,279.72
1290,2015-07-06,AAPL,,,,,126.0
1291,2015-07-07,AAPL,,,,,125.69
1292,2015-07-07,TSLA,,,,,267.88
1293,2015-07-08,AAPL,,,,,122.57
1294,2015-07-08,TSLA,,,,,254.96
1295,2015-07-09,AAPL,,,,,120.07
1296,2015-07-09,TSLA,,,,,257.92
1298,2015-07-10,TSLA,,,,,259.15
1297,2015-07-10,AAPL,,,,,123.28
1299,2015-07-13,TSLA,,,,,262.16
1300,2015-07-13,AAPL,,,,,125.66
1301,2015-07-14,AAPL,,,,,125.61
1302,2015-07-14,TSLA,,,,,265.65
1303,2015-07-15,TSLA,,,,,263.14
1304,2015-07-15,AAPL,,,,,126.82
1305,2015-07-16,AAPL,,,,,128.51
1306,2015-07-16,TSLA,,,,,266.68
1307,2015-07-17,AAPL,,,,,129.62
1308,2015-07-17,TSLA,,,,,274.66
1310,2015-07-20,AAPL,,,,,132.07
1309,2015-07-20,TSLA,,,,,282.26
1312,2015-07-21,AAPL,,,,,130.75
1311,2015-07-21,TSLA,,,,,266.77
1313,2015-07-22,TSLA,,,,,267.87
1314,2015-07-22,AAPL,,,,,125.22
1315,2015-07-23,TSLA,,,,,267.2
1316,2015-07-23,AAPL,,,,,125.16
1318,2015-07-24,AAPL,,,,,124.5
1317,2015-07-24,TSLA,,,,,265.41
1320,2015-07-27,AAPL,,,,,122.77
1319,2015-07-27,TSLA,,,,,253.01
1322,2015-07-28,AAPL,,,,,123.38
1321,2015-07-28,TSLA,,,,,264.82
1324,2015-07-29,AAPL,,,,,122.99
1323,2015-07-29,TSLA,,,,,263.82
1325,2015-07-30,TSLA,,,,,266.79
1326,2015-07-30,AAPL,,,,,122.37
1327,2015-07-31,AAPL,,,,,121.3
1328,2015-07-31,TSLA,,,,,266.15
1329,2015-08-03,AAPL,,,,,118.44
1330,2015-08-03,TSLA,,,,,259.99
1331,2015-08-04,AAPL,,,,,114.64
1332,2015-08-04,TSLA,,,,,266.28
1333,2015-08-05,TSLA,,,,,270.13
1334,2015-08-05,AAPL,,,,,115.4
1335,2015-08-06,AAPL,,,,,115.13
1336,2015-08-06,TSLA,,,,,246.13
1337,2015-08-07,AAPL,,,,,115.52
1338,2015-08-07,TSLA,,,,,242.51
1339,2015-08-10,AAPL,,,,,119.72
1340,2015-08-10,TSLA,,,,,241.14
1341,2015-08-11,AAPL,,,,,113.49
1342,2015-08-11,TSLA,,,,,237.37
1343,2015-08-12,AAPL,,,,,115.24
1344,2015-08-12,TSLA,,,,,238.17
1346,2015-08-13,AAPL,,,,,115.15
1345,2015-08-13,TSLA,,,,,242.51
1347,2015-08-14,TSLA,,,,,243.15
1348,2015-08-14,AAPL,,,,,115.96
1350,2015-08-17,AAPL,,,,,117.16
